"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate","Retransmission","IDK"
"2118","63.112742808","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=79558 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2119","63.112824637","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=82406 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2120","63.112907387","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=85254 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2121","63.112988715","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=88102 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2122","63.113074992","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=90950 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2123","63.113162484","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=93798 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2124","63.113250883","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=96646 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2125","63.113323474","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=99494 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
"2126","63.113361120","10.10.3.105","10.10.3.102","MPTCP","1500","55092  >  5201 [PSH, ACK] Seq=102342 Ack=1 Win=64256 Len=1408 TSval=2010520771 TSecr=1041647383","","","","",""
"2127","63.114501827","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=62694 Win=135296 Len=0 TSval=1041647383 TSecr=2010520682","","","","",""
"2128","63.115236577","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=45606 Win=109696 Len=0 TSval=1041647383 TSecr=2010520682","","","","",""
